Report Number,Street Prefix,Street Name,Street Suffix,Intersecting Block Number,Intersecting Street Prefix,Intersecting Street Name,Intersecting Street Suffix,Street Description,At An Intersection,Intersecting Street Description,Crash Date/Time,Fatality,Hit And Run,Location
18-92482,,SOUTHWEST,BLVD,100,,STATE HWY 183 NB W VICKERY,RAMP,,TRUE,,10/15/2018 15:43,FALSE,FALSE,"(32.7058, -97.43445)"
18-92362,,TRINITY,BLVD,2986,S,NORWOOD,DR,MAIN ROADWAY,FALSE,MAIN ROADWAY,10/15/2018 8:00,FALSE,TRUE,"(32.80217, -97.16269)"
18-91851,NE,28TH,ST,160,,IH 35W NB 28TH,RAMP,,TRUE,,10/13/2018 1:46,FALSE,FALSE,"(32.79703, -97.37375)"
18-92375,,ALTAMESA,BLVD,6300,,VEGA,DR,SIX LANE DIVIDED BOULEVARD,FALSE,,10/15/2018 8:40,FALSE,TRUE,"(32.65049, -97.37472)"
18-92078,,ALTA MERE,BLVD,7200,,CAMP BOWIE WEST,BLVD,,TRUE,,10/14/2018 0:21,FALSE,FALSE,"(32.7218, -97.4417)"
180092437,,CRYSTAL LAKE,DR,5300,,CROMWELL MARINE CREEK,RD,,FALSE,,10/15/2018 7:30,FALSE,TRUE,"(32.85138, -97.40293)"
18-92344,E,LOOP 820 SOUTH,FWY,6000,,TRUMAN,DR,E LOOP 820 SOUTH FWY SB,FALSE,,10/15/2018 5:46,FALSE,FALSE,"(0, 0)"
18-92441,N,BEACH,ST,4000,,KING OAKS,LN,,FALSE,,10/15/2018 14:30,FALSE,FALSE,"(32.76173, -97.2877)"
18-92132,W,IH 20 WB GRANBURY,RAMP,4900,SW,TRAIL LAKE,DR,,FALSE,,10/14/2018 3:50,FALSE,FALSE,"(32.67281, -97.37544)"
18-92368,,JACKSBORO,HWY,2700,W,LONG,AVE,,FALSE,,10/15/2018 9:34,FALSE,TRUE,"(32.78689, -97.38503)"
18-92645,S,FWY,FWY,700,E,SEMINARY,DR,PAVED ROADWAY,TRUE,PAVED,10/16/2018 7:50,FALSE,FALSE,"(32.68455, -97.32159)"
18-92937,,OAK GROVE,RD,1400,,JOHN BURGESS,DR,,TRUE,,10/17/2018 7:28,FALSE,FALSE,"(32.63313, -97.30425)"
18-92053,,TRINITY,BLVD,11100,,MOSIER VALLEY,RD,,FALSE,,10/13/2018 22:37,FALSE,FALSE,"(32.80966, -97.12623)"
18-92043,,EVANS,AVE,900,E,BERRY,ST,,FALSE,,10/13/2018 21:42,FALSE,FALSE,"(32.70743, -97.31852)"
18-92357,,RAY WHITE,RD,5200,,GOLDEN TRIANGLE,BLVD,,TRUE,,10/15/2018 7:30,FALSE,TRUE,"(32.92006, -97.27253)"
18-92376,E,LOOP 820,FWY,6200,,MEADOWBROOK,DR,E LOOP 820 FWY SB,FALSE,LOCAL ROAD,10/15/2018 10:08,FALSE,FALSE,"(0, 0)"
18-91803,E,SHAW,ST,3200,,SHAMBLEE,ST,PAVED,FALSE,PAVED,10/13/2018 22:16,FALSE,TRUE,"(32.70241, -97.31786)"
180092348,,JACKSBORO,HWY,1800,,EPHRIHAM,AVE,,TRUE,,10/15/2018 7:20,FALSE,FALSE,"(32.78521, -97.38301)"
18-92050,,EPHRIHAM,AVE,2400,,JACKSBORO,HWY,,TRUE,,10/13/2018 22:15,FALSE,FALSE,"(32.78658, -97.3821)"
